"Date","Temperature"
1958.208,42.56
1958.292,44.3
1958.375,44.35
1958.458,43.95
1958.542,42.71
1958.625,41.78
1958.708,40.05
1958.792,39.51
1958.875,40.18
1958.958,41.52
1959.042,42.47
1959.125,43.23
1959.208,43.56
1959.292,44.5700000000001
1959.375,45.14
1959.458,45
1959.542,43.39
1959.625,41.65
1959.708,40.69
1959.792,40.11
1959.875,41.65
1959.958,42.43
1960.042,43.28
1960.125,43.8200000000001
1960.208,44.43
1960.292,45.87
1960.375,46.88
1960.458,46.44
1960.542,45.03
1960.625,42.76
1960.708,41.01
1960.792,40.68
1960.875,41.85
1960.958,43.04
1961.042,43.78
1961.125,44.55
1961.208,45.39
1961.292,46.33
1961.375,47.43
1961.458,46.62
1961.542,45.42
1961.625,43.64
1961.708,41.65
1961.792,42.23
1961.875,42.95
1961.958,43.86
1962.042,44.79
1962.125,45.41
1962.208,46.53
1962.292,47.48
1962.375,47.86
1962.458,47.4
1962.542,46.43
1962.625,44.25
1962.708,43.11
1962.792,42.27
1962.875,43.54
1962.958,44.54
1963.042,45.59
1963.125,45.93
1963.208,46.71
1963.292,48.24
1963.375,49.1
1963.458,48.3200000000001
1963.542,46.59
1963.625,44.62
1963.708,43.06
1963.792,42.84
1963.875,43.97
1963.958,45.16
1964.042,46.42
1964.125,46.92
1964.208,47.58
1964.292,48.62
1964.375,49.1
1964.458,48.74
1964.542,47.29
1964.625,45.55
1964.708,43.55
1964.792,43.64
1964.875,44.64
1964.958,45.56
1965.042,46.29
1965.125,47.29
1965.208,47.74
1965.292,48.98
1965.375,49.01
1965.458,48.72
1965.542,48.24
1965.625,45.66
1965.708,44.66
1965.792,44.15
1965.875,45.72
1965.958,46.27
1966.042,47.47
1966.125,48.44
1966.208,49.24
1966.292,50.72
1966.375,50.86
1966.458,50.6
1966.542,49.24
1966.625,47.22
1966.708,45.49
1966.792,44.95
1966.875,46.64
1966.958,47.93
1967.042,48.92
1967.125,49.35
1967.208,49.89
1967.292,51.27
1967.375,51.85
1967.458,50.94
1967.542,49.4
1967.625,47.77
1967.708,46.16
1967.792,46.16
1967.875,47.5700000000001
1967.958,48.81
1968.042,49.42
1968.125,50
1968.208,50.74
1968.292,51.87
1968.375,52.42
1968.458,52.21
1968.542,50.99
1968.625,48.88
1968.708,47.26
1968.792,47.1
1968.875,48.16
1968.958,49.69
1969.042,50.85
1969.125,51.27
1969.208,52.49
1969.292,53.51
1969.375,54.19
1969.458,53.61
1969.542,52.73
1969.625,50.52
1969.708,49.23
1969.792,48.63
1969.875,49.7
1969.958,50.96
1970.042,51.88
1970.125,52.84
1970.208,53.72
1970.292,54.98
1970.375,54.92
1970.458,54.51
1970.542,53.2
1970.625,51.54
1970.708,49.95
1970.792,50.01
1970.875,50.83
1970.958,51.98
1971.042,53.02
1971.125,53.53
1971.208,54.03
1971.292,54.63
1971.375,55.77
1971.458,55.42
1971.542,54.19
1971.625,52.31
1971.708,50.21
1971.792,50.42
1971.875,51.65
1971.958,52.86
1972.042,53.62
1972.125,54.48
1972.208,54.6
1972.292,56.5700000000001
1972.375,56.92
1972.458,55.94
1972.542,54.9
1972.625,53.17
1972.708,51.78
1972.792,51.91
1972.875,53.35
1972.958,54.4
1973.042,55.39
1973.125,56.41
1973.208,57.15
1973.292,58.35
1973.375,59.33
1973.458,58.92
1973.542,57.72
1973.625,56.16
1973.708,54.36
1973.792,54.03
1973.875,55.01
1973.958,55.49
1974.042,56.2
1974.125,57.56
1974.208,58.33
1974.292,59.5
1974.375,60.05
1974.458,59.01
1974.542,57.92
1974.625,55.97
1974.708,54.17
1974.792,54.13
1974.875,55.15
1974.958,56.43
1975.042,57.58
1975.125,58.31
1975.208,58.75
1975.292,60.02
1975.375,60.79
1975.458,60.3
1975.542,58.83
1975.625,56.8
1975.708,55.35
1975.792,55.19
1975.875,56.22
1975.958,57.43
1976.042,58.44
1976.125,59.6
1976.208,60.37
1976.292,61.49
1976.375,61.62
1976.458,60.85
1976.542,59.91
1976.625,57.53
1976.708,55.8
1976.792,55.6
1976.875,57
1976.958,58.47
1977.042,59.51
1977.125,59.98
1977.208,61.8
1977.292,62.98
1977.375,63.78
1977.458,63.02
1977.542,61.73
1977.625,59.41
1977.708,58.14
1977.792,58.12
1977.875,59.26
1977.958,60.45
1978.042,61.8
1978.125,62.1
1978.208,63.51
1978.292,64.54
1978.375,64.88
1978.458,64.86
1978.542,63.26
1978.625,61.26
1978.708,59.22
1978.792,59.26
1978.875,60.6
1978.958,61.75
1979.042,62.99
1979.125,63.54
1979.208,65.12
1979.292,65.8
1979.375,66.06
1979.458,66.11
1979.542,64.39
1979.625,62.6
1979.708,60.83
1979.792,61.04
1979.875,62.16
1979.958,63.66
1980.042,64.75
1980.125,65.19
1980.208,66.86
1980.292,67.78
1980.375,68.33
1980.458,68.18
1980.542,66.25
1980.625,64.55
1980.708,63.04
1980.792,63
1980.875,64.12
1980.958,65.17
1981.042,66.14
1981.125,67.4
1981.208,68.46
1981.292,69.38
1981.375,69.89
1981.458,69.39
1981.542,67.63
1981.625,65.29
1981.708,63.8
1981.792,63.93
1981.875,65.43
1981.958,66.73
1982.042,67.81
1982.125,68.58
1982.208,69.67
1982.292,70.8200000000001
1982.375,71.48
1982.458,70.64
1982.542,69.17
1982.625,66.94
1982.708,65.13
1982.792,65.14
1982.875,66.45
1982.958,67.75
1983.042,68.53
1983.125,69.75
1983.208,70.18
1983.292,72.1
1983.375,72.88
1983.458,72.48
1983.542,71.04
1983.625,69.12
1983.708,67.2
1983.792,67.23
1983.875,68.44
1983.958,69.9
1984.042,70.95
1984.125,71.64
1984.208,72.37
1984.292,73.69
1984.375,74.48
1984.458,73.83
1984.542,72.38
1984.625,70.4
1984.708,68.25
1984.792,68.52
1984.875,69.95
1984.958,71.55
1985.042,72.06
1985.125,73.01
1985.208,74.59
1985.292,75.19
1985.375,75.91
1985.458,75.23
