"season","week","half","even_wk","team","result","win","loss","tie"
1999,1,"first","odd","ATL",-3,0,1,0
1999,1,"first","odd","CHI",3,1,0,0
1999,1,"first","odd","CLE",-43,0,1,0
1999,1,"first","odd","GB",4,1,0,0
1999,1,"first","odd","IND",17,1,0,0
1999,1,"first","odd","JAX",38,1,0,0
1999,1,"first","odd","NO",9,1,0,0
1999,1,"first","odd","NYJ",-2,0,1,0
1999,1,"first","odd","PHI",-1,0,1,0
1999,1,"first","odd","SEA",-8,0,1,0
1999,1,"first","odd","STL",17,1,0,0
1999,1,"first","odd","TB",-4,0,1,0
1999,1,"first","odd","TEN",1,1,0,0
1999,1,"first","odd","WAS",-6,0,1,0
1999,1,"first","odd","DEN",-17,0,1,0
1999,2,"first","even","BAL",-3,0,1,0
1999,2,"first","even","BUF",14,1,0,0
1999,2,"first","even","CAR",-2,0,1,0
1999,2,"first","even","CHI",-1,0,1,0
1999,2,"first","even","CIN",-27,0,1,0
1999,2,"first","even","DET",8,1,0,0
1999,2,"first","even","KC",16,1,0,0
1999,2,"first","even","MIA",3,1,0,0
1999,2,"first","even","MIN",-5,0,1,0
1999,2,"first","even","NE",3,1,0,0
1999,2,"first","even","NYG",-29,0,1,0
1999,2,"first","even","PHI",-14,0,1,0
1999,2,"first","even","SF",7,1,0,0
1999,2,"first","even","TEN",17,1,0,0
1999,2,"first","even","DAL",17,1,0,0
1999,3,"first","odd","BAL",7,1,0,0
1999,3,"first","odd","BUF",26,1,0,0
1999,3,"first","odd","CAR",24,1,0,0
1999,3,"first","odd","GB",3,1,0,0
1999,3,"first","odd","JAX",-1,0,1,0
1999,3,"first","odd","KC",10,1,0,0
1999,3,"first","odd","NE",2,1,0,0
1999,3,"first","odd","NYJ",-7,0,1,0
1999,3,"first","odd","OAK",7,1,0,0
1999,3,"first","odd","PIT",-19,0,1,0
1999,3,"first","odd","SD",-8,0,1,0
1999,3,"first","odd","STL",28,1,0,0
1999,3,"first","odd","TB",3,1,0,0
1999,3,"first","odd","ARI",-14,0,1,0
1999,4,"first","even","ATL",-6,0,1,0
1999,4,"first","even","CHI",4,1,0,0
1999,4,"first","even","CIN",-28,0,1,0
1999,4,"first","even","CLE",-12,0,1,0
1999,4,"first","even","DAL",28,1,0,0
1999,4,"first","even","DEN",-8,0,1,0
1999,4,"first","even","MIN",7,1,0,0
1999,4,"first","even","NYG",1,1,0,0
1999,4,"first","even","PIT",-14,0,1,0
1999,4,"first","even","SD",7,1,0,0
1999,4,"first","even","SEA",1,1,0,0
1999,4,"first","even","SF",2,1,0,0
1999,4,"first","even","WAS",2,1,0,0
1999,4,"first","even","MIA",-5,0,1,0
1999,5,"first","odd","ARI",11,1,0,0
1999,5,"first","odd","BUF",3,1,0,0
1999,5,"first","odd","CLE",-1,0,1,0
